dataset,subject_id,rest_frontal_theta,work_frontal_theta,rest_theta_alpha,work_theta_alpha,perf_proxy,n_rest,n_work
MAT,Subject00,14.788179803493485,14.580358997417475,0.30457525796861007,0.44839101105103363,1.0,90,30
MAT,Subject01,14.942246265854807,26.107579755249812,0.9977221171219139,1.7192765985552527,1.0,90,30
MAT,Subject02,11.908434882545702,6.956026253970868,0.7725285049856729,0.48569518908340714,1.0,90,30
MAT,Subject03,17.655321953878158,8.88270108895649,0.43666573837068845,0.8388344688811683,1.0,90,30
MAT,Subject04,35.29940092953635,33.665459105116824,1.7408109916779968,2.1227923394732247,1.0,84,30
MAT,Subject05,13.872911304133247,15.451623286490447,0.6291652830071879,0.7863796297432291,1.0,90,30
MAT,Subject06,11.862201524939678,7.016911117833569,1.362955524966277,1.0553577953604036,1.0,90,30
MAT,Subject07,12.746387758872523,15.956877343240956,1.0000797485729707,2.4037989612742914,1.0,90,30
MAT,Subject08,9.055739006849738,10.4196842762093,0.5016494116698602,1.2029229559132941,1.0,90,30
MAT,Subject09,24.574808072595726,16.231487332402867,1.2726300603316845,1.8241609199638955,1.0,90,30
MAT,Subject10,20.468917566434328,15.157372905481896,3.3960126868802276,1.9684803980377177,1.0,93,30
MAT,Subject11,8.234205109368164,5.34066134112493,1.9134973956296233,1.4815171029543275,1.0,90,30
MAT,Subject12,17.253459965151976,13.991354023412017,0.9900146946961409,0.7682398287844915,1.0,90,30
MAT,Subject13,8.493213764820528,17.32615197686166,1.5043123473523086,2.6411938650748743,1.0,90,30
MAT,Subject14,18.50260740907812,22.129429488061028,0.876536977937965,1.7417701066387798,1.0,90,30
MAT,Subject15,31.252575091319684,23.107735518020196,0.7034972789529685,1.1565917338020715,1.0,90,30
MAT,Subject16,12.068798258734745,11.280746784282655,1.2982748234198342,2.0612361019211556,1.0,90,30
MAT,Subject17,9.19811259676633,14.36002332980774,1.1039902229623704,1.0940473401552973,1.0,90,30
MAT,Subject18,11.659397810157078,6.6167754756170405,0.8365281756255072,0.9302008097160256,1.0,90,30
MAT,Subject19,8.472138278785991,9.319106320842858,0.37584162691023393,0.8058005574123274,1.0,90,30
MAT,Subject20,7.981012427976384,16.832619745805243,0.5293174993529787,0.8795515389723987,1.0,90,30
MAT,Subject21,22.019392614848222,9.175843842319122,1.0110093972416834,0.6094005860904876,1.0,90,30
MAT,Subject22,16.822054746234354,25.87241259251043,0.32100660420947025,0.8554361867823358,1.0,90,30
MAT,Subject23,15.789746132072446,16.820646635502808,0.36747418434718165,0.546070777565136,1.0,90,30
MAT,Subject24,7.101389745756549,9.561947135233435,0.7245105308832985,1.3728788260906495,1.0,90,30
MAT,Subject25,24.35792507192084,21.17773252570721,0.5319482133323596,0.4946876909801301,1.0,90,30
MAT,Subject26,9.335347092870446,9.547391775172526,1.038829717556272,1.1713321290663614,1.0,90,30
MAT,Subject27,19.227670784355237,30.40282856206591,1.0943460042116784,3.791788827076859,1.0,90,30
MAT,Subject28,19.44838215358135,12.204952958872985,0.8531675265456236,1.0332297136891448,1.0,90,30
MAT,Subject29,10.500425543238382,9.774419862198501,0.2720778409687796,0.28612122577147314,1.0,90,30
MAT,Subject30,6.322883909686267,10.503672553265599,0.3741754515360926,0.9465264485502303,1.0,90,30
MAT,Subject31,6.4858965251796254,9.635658493582556,0.8916711432833286,1.3759418463690503,1.0,39,30
MAT,Subject32,15.526973828834716,13.47462770092968,0.603513350845469,0.5430753163756231,1.0,90,30
MAT,Subject33,13.388978547919082,13.924026150420788,0.7078419246503109,1.6592025826103087,1.0,90,30
MAT,Subject34,18.696281733141983,17.300450240187146,0.5202388469502913,1.0497982985332148,1.0,90,30
MAT,Subject35,14.330238385656276,22.114523903832662,1.7601325346213264,2.90517663452316,1.0,90,30
